"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover in Lacs","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"KOTAKBANK","EQ","12-Oct-2015","        659.50","        661.15","        669.70","        656.30","        661.00","        662.05","        664.59","     606173","       4028.54","      11778","     199306","         32.88"
"KOTAKBANK","EQ","13-Oct-2015","        662.05","        660.60","        664.75","        651.00","        657.50","        656.05","        656.03","     456531","       2994.98","       8209","     188667","         41.33"
"KOTAKBANK","EQ","14-Oct-2015","        656.05","        656.00","        662.50","        651.00","        651.05","        652.85","        657.08","     654482","       4300.46","       8296","     268821","         41.07"
"KOTAKBANK","EQ","15-Oct-2015","        652.85","        655.50","        664.00","        652.15","        654.05","        653.45","        656.47","     849035","       5573.70","       8777","     440440","         51.88"
"KOTAKBANK","EQ","16-Oct-2015","        653.45","        651.50","        662.00","        645.15","        661.00","        659.30","        653.72","     912296","       5963.90","      14034","     424033","         46.48"
"KOTAKBANK","EQ","19-Oct-2015","        659.30","        659.95","        663.00","        653.45","        657.20","        658.35","        657.48","     655123","       4307.32","      10251","     300407","         45.86"
"KOTAKBANK","EQ","20-Oct-2015","        658.35","        659.00","        661.85","        647.00","        652.00","        654.05","        653.00","     964026","       6295.08","      14835","     305141","         31.65"
"KOTAKBANK","EQ","21-Oct-2015","        654.05","        653.95","        660.00","        650.05","        655.70","        656.60","        654.77","    1116109","       7307.97","      17466","     493476","         44.21"
"KOTAKBANK","EQ","23-Oct-2015","        656.60","        664.00","        668.00","        660.25","        664.25","        665.20","        664.00","     861832","       5722.56","      16729","     414295","         48.07"
"KOTAKBANK","EQ","26-Oct-2015","        665.20","        668.85","        669.00","        654.60","        661.95","        661.90","        660.67","     578519","       3822.08","       9263","     235367","         40.68"
"KOTAKBANK","EQ","27-Oct-2015","        661.90","        661.50","        666.00","        657.30","        662.15","        660.45","        662.00","     600518","       3975.42","       8290","     273743","         45.58"
"KOTAKBANK","EQ","28-Oct-2015","        660.45","        658.70","        677.00","        657.95","        673.30","        671.45","        672.59","    1506140","      10130.07","      27530","     574444","         38.14"
"KOTAKBANK","EQ","29-Oct-2015","        671.45","        673.00","        675.00","        660.85","        664.00","        664.00","        666.92","    1849449","      12334.32","      27212","     764577","         41.34"
"KOTAKBANK","EQ","30-Oct-2015","        664.00","        664.90","        693.80","        661.65","        687.50","        687.65","        682.68","    4415610","      30144.44","      63279","    1350755","         30.59"
"KOTAKBANK","EQ","02-Nov-2015","        687.65","        688.00","        689.00","        680.00","        685.00","        686.50","        685.12","     932811","       6390.88","      18429","     414134","         44.40"
"KOTAKBANK","EQ","03-Nov-2015","        686.50","        688.10","        690.00","        675.70","        681.75","        683.10","        684.18","    1076363","       7364.31","      16051","     464432","         43.15"
"KOTAKBANK","EQ","04-Nov-2015","        683.10","        687.50","        688.95","        670.00","        670.80","        672.85","        679.13","     437218","       2969.29","       8494","     161202","         36.87"
"KOTAKBANK","EQ","05-Nov-2015","        672.85","        671.90","        671.90","        647.90","        652.85","        650.60","        657.74","     931220","       6125.05","      15349","     424561","         45.59"
"KOTAKBANK","EQ","06-Nov-2015","        650.60","        648.50","        665.50","        647.15","        665.00","        656.50","        654.40","     569044","       3723.85","      11920","     214799","         37.75"
"KOTAKBANK","EQ","09-Nov-2015","        656.50","        643.10","        663.70","        634.65","        658.90","        660.10","        648.66","    1169502","       7586.05","      24399","     494250","         42.26"
"KOTAKBANK","EQ","10-Nov-2015","        660.10","        653.10","        658.05","        645.00","        648.25","        646.85","        649.25","     652634","       4237.20","       9290","     334795","         51.30"
"KOTAKBANK","EQ","11-Nov-2015","        646.85","        657.00","        659.70","        653.75","        655.40","        655.55","        655.89","     155241","       1018.21","       3642","      50900","         32.79"
"KOTAKBANK","EQ","13-Nov-2015","        655.55","        653.40","        673.85","        647.00","        669.00","        669.60","        666.22","     888356","       5918.41","      20276","     365892","         41.19"
"KOTAKBANK","EQ","16-Nov-2015","        669.60","        666.00","        689.50","        666.00","        677.55","        679.10","        681.10","    1111593","       7571.02","      17459","     462482","         41.61"
"KOTAKBANK","EQ","17-Nov-2015","        679.10","        680.80","        681.00","        672.50","        677.00","        677.15","        676.70","     471769","       3192.44","       8165","     152572","         32.34"
"KOTAKBANK","EQ","18-Nov-2015","        677.15","        671.05","        682.90","        667.65","        669.60","        672.80","        675.29","     702561","       4744.35","       9737","     285142","         40.59"
"KOTAKBANK","EQ","19-Nov-2015","        672.80","        675.95","        684.00","        670.05","        681.50","        682.10","        678.88","     635557","       4314.69","      12353","     220262","         34.66"
"KOTAKBANK","EQ","20-Nov-2015","        682.10","        680.05","        692.65","        678.55","        682.15","        682.30","        687.42","    1021787","       7023.94","      16587","     462597","         45.27"
"KOTAKBANK","EQ","23-Nov-2015","        682.30","        688.40","        694.00","        680.00","        683.00","        684.10","        686.41","     588043","       4036.36","      11999","     154810","         26.33"
"KOTAKBANK","EQ","24-Nov-2015","        684.10","        683.10","        685.30","        675.30","        679.50","        677.60","        680.26","     458845","       3121.32","       8950","     178284","         38.85"
"KOTAKBANK","EQ","26-Nov-2015","        677.60","        680.10","        687.50","        676.30","        686.30","        685.20","        681.49","     467400","       3185.28","       9313","     140733","         30.11"
"KOTAKBANK","EQ","27-Nov-2015","        685.20","        685.20","        702.95","        683.00","        697.00","        698.75","        696.12","    1230913","       8568.64","      26373","     541585","         44.00"
"KOTAKBANK","EQ","30-Nov-2015","        698.75","        697.70","        697.70","        688.70","        692.00","        692.35","        692.60","     680738","       4714.79","      22679","     287554","         42.24"
"KOTAKBANK","EQ","01-Dec-2015","        692.35","        693.50","        695.50","        686.60","        691.00","        688.60","        690.40","     435334","       3005.54","       9674","     127488","         29.29"
"KOTAKBANK","EQ","02-Dec-2015","        688.60","        691.00","        692.35","        677.00","        678.00","        680.45","        681.70","     389654","       2656.29","       8925","     118422","         30.39"
"KOTAKBANK","EQ","03-Dec-2015","        680.45","        676.00","        683.50","        670.90","        673.50","        674.80","        678.13","     400981","       2719.19","       9351","     105959","         26.42"
"KOTAKBANK","EQ","04-Dec-2015","        674.80","        671.90","        675.35","        661.00","        661.75","        664.65","        667.92","    1263578","       8439.65","      13788","     897285","         71.01"
"KOTAKBANK","EQ","07-Dec-2015","        664.65","        664.95","        673.80","        664.00","        672.00","        671.60","        668.98","     451691","       3021.70","       9255","     187220","         41.45"
"KOTAKBANK","EQ","08-Dec-2015","        671.60","        668.00","        678.00","        667.05","        673.05","        674.00","        673.91","     691564","       4660.49","      14336","     425768","         61.57"
"KOTAKBANK","EQ","09-Dec-2015","        674.00","        672.70","        676.60","        665.80","        670.00","        668.60","        669.38","     297119","       1988.86","       7415","     112658","         37.92"
"KOTAKBANK","EQ","10-Dec-2015","        668.60","        669.40","        680.55","        665.00","        679.00","        677.90","        674.04","     616494","       4155.43","      14990","     233164","         37.82"
"KOTAKBANK","EQ","11-Dec-2015","        677.90","        682.00","        682.00","        663.90","        665.00","        667.70","        670.48","     572988","       3841.75","      18305","     234220","         40.88"
"KOTAKBANK","EQ","14-Dec-2015","        667.70","        663.90","        677.50","        663.00","        677.50","        674.10","        672.45","     871886","       5863.04","      23746","     501595","         57.53"
"KOTAKBANK","EQ","15-Dec-2015","        674.10","        673.95","        688.90","        667.50","        684.60","        686.60","        679.79","    1056697","       7183.29","      23961","     691257","         65.42"
